dummy,index,donki_date,cdaw_date,donki_speed,donki_ha,longitude,latitude,Accel,2nd_order_speed_final,2nd_order_speed_initial,2nd_order_speed_20R,Central_PA,MPA,sunspots,halo,Double_CME_100_MeV,target,100MeV_peak_intensity,threshold_time,peak_time,solar_wind_speed,100MeV_peak_intensity_ln,connection_angle_degrees,expected_richardson,expected_richardson_ln,Type_2_Area,richardson_formula_degrees_phi_2_solar_wind,diffusive_shock,V log V,CMEs_past_month,CMEs_past_9_hours,CMEs_over_1000_past_9_hrs,Max_speed_past_day,connection_angle_degrees_phi_2_solar_wind_sq_div,trained_richardson_ln
0,615,5/22/2013 13:24,5/22/2013 13:25,0.41605839416058393,0.632183908045977,0.7222222222222222,0.550561797752809,0.23841546705894714,0.4511326860841424,1532,0.3857296137339056,1.0,0.7972222222222223,0.6582914572864321,1.0,1,1,3.4067,71,305,449.3,1.225744081,30.52375553,0.759759893,-0.274752826,0.986455402787886,0.7776884868221253,0.9697155050112708,0.37592410306822815,0.2987012987012987,0.25,0.0,0.26,-0.251946904,0.6633866648797999
0,587,4/11/2013 7:36,4/11/2013 7:24,0.34306569343065696,0.6091954022988506,0.4305555555555556,0.4550561797752809,0.2437742986235158,0.2563106796116505,929,0.21968884120171675,1.0,0.2361111111111111,0.6331658291457286,1.0,1,1,1.7667,138,389,419.8,0.5691134,-79.67335842,0.085489021,-2.459367317,0.8661091974734882,0.1796250390589125,0.9398301817914523,0.3031119749884647,0.12987012987012986,0.0,0.0,0.0,-1.716561396,-1.2264172421127475
0,421,7/19/2012 5:36,7/19/2012 4:24,0.41605839416058393,0.5172413793103449,0.7777777777777778,0.38202247191011235,0.2660502259115267,0.15275080906148866,,0.18723175965665237,0.5777777777777777,0.5638888888888889,0.19095477386934673,0.0,0,2,0.749,89,239,408.7,-0.289016295,47.40256772,0.532361456,-0.630432592,0,0.5448651896887089,0.9697155050112708,0.37592410306822815,0.5714285714285714,0.0,0.0,0.0,-0.60762667,0.30770689884573266
0,410,7/6/2012 23:12,7/6/2012 23:24,0.41605839416058393,0.40229885057471265,0.6805555555555556,0.29775280898876405,0.19333823683934012,0.5216828478964401,2040,0.46405579399141633,1.0,0.6472222222222223,0.6633165829145728,1.0,0,2,0.314,143,333,483,-1.158362293,38.64507996,0.652687224,-0.426657248,0.8614219954400277,0.6680614839438327,0.9697155050112708,0.37592410306822815,0.5584415584415584,0.0,0.0,0.4,-0.403851326,0.5114822426354548
0,779,11/2/2013 4:48,11/2/2013 4:48,0.3715328467153285,0.8045977011494253,0.9027777777777778,0.5224719101123596,0.22454555006829882,0.18932038834951456,1050,0.18991416309012876,1.0,0.6638888888888889,0.507537688442211,1.0,0,2,0.202,361,397,328.7,-1.599487582,75.33122899,0.135801158,-1.996563537,0,0.21552074739378227,0.9548594027510672,0.3313103048464698,0.6883116883116883,0.0,0.0,0.0,-1.534557615,-0.8785895895122082
0,1056,4/10/2014 16:36,4/10/2014 14:36,0.08759124087591241,0.28735632183908044,0.25555555555555554,0.4101123595505618,0.26142692024797726,0.12168284789644013,0,0.12124463519313304,0.29444444444444445,0.3055555555555556,0.32663316582914576,0.0,0,0,0.135335283,229,484,379.8,-2.000000002,-145.3073563,0.000126858,-8.972440262,0,0.003121633706808002,0.24807085446138355,0.06667613797969932,0.8311688311688312,0.0,0.0,0.176,-5.70963434,-6.707653141313633
0,917,2/2/2014 7:12,2/2/2014 6:48,0.07481751824817519,0.4482758620689655,0.1,0.48314606741573035,0.2526006094357465,0.07605177993527508,225,0.06491416309012875,0.2611111111111111,0.23333333333333334,0.592964824120603,0.0,0,0,0.135335283,229,484,376.5,-2.000000002,155.0510959,5.07E-05,-9.889844953,0,0.0013048505876793004,0.23030011703942949,0.05609756480055997,0.6753246753246753,0.0,0.0,0.1896,-6.501039032,-7.573465979336733
0,1736,8/25/2015 16:00,8/25/2015 13:25,0.09671532846715329,0.3793103448275862,0.675,0.30337078651685395,0.2856992749816118,0.11294498381877023,256,0.24248927038626608,0.9194444444444444,0.9305555555555556,0.34673366834170855,0.0,0,0,0.135335283,229,484,388.5,-2.000000002,34.20704343,0.030524486,-3.4892261,0,0.729118252796595,0.25946995210544677,0.07434748473807315,0.36363636363636365,0.0,0.0,0.2,-0.316420178,-1.2612903014279577
0,1702,7/22/2015 5:48,7/22/2015 6:12,0.09452554744525547,0.21839080459770116,0.425,0.25280898876404495,0.2528107596931806,0.0831715210355987,244,0.07188841201716738,0.4222222222222222,0.4388888888888889,0.18090452261306533,0.0,0,0,0.135335283,229,484,339.7,-2.000000002,-93.2663159,0.003900495,-5.546651914,0,0.09503222980951569,0.2568083084926869,0.07249811746424115,0.4805194805194805,0.0,0.0,0.1512,-2.352245993,-3.309871798202009
0,2201,4/4/2017 17:24,4/4/2017 17:41,0.07226277372262774,0.25287356321839083,0.7638888888888888,0.6179775280898876,0.37711463696543024,0.26375404530744334,273,0.45278969957081544,0.7944444444444444,0.8305555555555556,0.38190954773869346,0.0,0,0,0.135335283,229,484,428,-2.000000002,45.97720697,0.018580545,-3.9856402,0,0.5648406431011934,0.22644934613857123,0.054006256956727026,0.2077922077922078,0.5,0.0,0.1796,-0.571634278,-1.6589428552139456
