dummy,index,donki_date,cdaw_date,donki_speed,donki_ha,longitude,latitude,Accel,2nd_order_speed_final,2nd_order_speed_initial,2nd_order_speed_20R,Central_PA,MPA,sunspots,halo,Double_CME_100_MeV,target,100MeV_peak_intensity,threshold_time,peak_time,solar_wind_speed,100MeV_peak_intensity_ln,connection_angle_degrees,expected_richardson,expected_richardson_ln,Type_2_Area,richardson_formula_degrees_phi_2_solar_wind,diffusive_shock,V log V,CMEs_past_month,CMEs_past_9_hours,CMEs_over_1000_past_9_hrs,Max_speed_past_day,connection_angle_degrees_phi_2_solar_wind_sq_div,trained_richardson_ln,donki_speed_unnormalized
0,288,3/13/2012 17:52,3/13/2012 17:36,2250,60,43,25,45.6,2054,1706,1987,360,286,96,1,0,1,3.2516,8,48,563.7,1.179147183,25.10243013,36.11816867,3.586796026,6083000,0.010963278,6.87E-13,17367.04236,16,0,0,0,-0.170398053,9043.688555572719,2250.0
0,263,1/23/2012 4:00,1/23/2012 4:00,2211,62,26,41,28,2283,2065,2216,360,326,113,1,1,1,1.987,104,230,441.5,0.686625964,-47.24707089,20.35135148,3.013147321,33516000,0.007108581,6.68E-13,17027.3536,25,0,0,694,-0.603646757,8886.480197468216,2211.0
0,1300,9/10/2014 18:18,9/10/2014 18:00,1400,45,10,15,-61.8,911,1240,274,331,345,169,0,0,2,0.93,253,617,361.8,-0.072570693,-54.78644932,0.891833564,-0.114475751,15220500,0.005773506,9.47E-14,10141.91852,40,0,0,400,-0.811669829,5626.1538737959045,1400.0
0,124,9/6/2011 22:40,9/6/2011 23:05,650,30,20,20,1.1,589,561,582,360,300,89,1,1,2,0.338,94,331,410.3,-1.084709383,-40.39596073,0.08680591,-2.444080568,16325500,0.008361808,6.26E-49,4210.032036,14,0,0,670,-0.441274647,2611.61831897865,650.0
