dummy,index,donki_date,cdaw_date,donki_speed,donki_ha,longitude,latitude,Accel,2nd_order_speed_final,2nd_order_speed_initial,2nd_order_speed_20R,Central_PA,MPA,sunspots,halo,Double_CME_100_MeV,target,100MeV_peak_intensity,threshold_time,peak_time,solar_wind_speed,100MeV_peak_intensity_ln,connection_angle_degrees,expected_richardson,expected_richardson_ln,Type_2_Area,richardson_formula_degrees_phi_2_solar_wind,diffusive_shock,V log V,CMEs_past_month,CMEs_past_9_hours,CMEs_over_1000_past_9_hrs,Max_speed_past_day,connection_angle_degrees_phi_2_solar_wind_sq_div,trained_richardson_ln,donki_speed_unnormalized
0,824,12/9/2013 21:18,12/9/2013 19:36,0.27153284671532846,0.3448275862068966,0.21944444444444444,0.6910112359550562,0.26773142797099925,0.28511326860841424,539,0.21593347639484978,0.18611111111111112,0.14722222222222223,0.7135678391959799,0.0,0,0,0.135335283,229,484,416.3,-2.000000002,-138.4732268,0.001315424,-6.633596438,0,0.00540800907283014,0.8451557793791504,0.23353109010611142,0.4025974025974026,0.0,0.0,0.0,-5.185190516,-5.11173199255041,804.0
0,2206,4/9/2017 17:36,4/9/2017 17:12,0.024452554744525547,0.1839080459770115,0.8027777777777778,0.550561797752809,0.2576442156141641,0.08122977346278318,0,0.0944206008583691,0.775,0.7583333333333333,0.06030150753768844,0.0,0,0,0.135335283,229,484,471.3,-2.000000002,60.86463331,0.007541271,-4.887364599,0,0.36731959747784315,0.12146368487456814,0.01681383502696168,0.2727272727272727,0.0,0.0,0.0,-1.001758677,-2.3675663211555937,127.0
0,1590,4/23/2015 9:36,4/23/2015 9:36,0.20693430656934306,0.5172413793103449,0.7222222222222222,0.6067415730337079,0.2494483555742356,0.2682847896440129,884,0.22719957081545064,1.0,0.8083333333333333,0.5879396984924623,1.0,0,0,0.135335283,229,484,435.2,-2.000000002,33.41029651,0.091862929,-2.38745771,0,0.7398209529443164,0.3521977554190572,0.17256539405304294,0.5064935064935064,0.0,0.0,0.0,-0.301851788,-0.6046858940181427,627.0
0,154,10/4/2011 13:10,10/4/2011 13:25,0.4781021897810219,0.5172413793103449,0.06944444444444445,0.6910112359550562,0.22170852159293894,0.29320388349514565,1276,0.2749463519313305,1.0,0.041666666666666664,0.6432160804020101,1.0,0,0,0.135335283,229,484,359.8,-2.000000002,129.7395416,0.01901457,-3.962549747,0,0.0103605906485092,0.9815598887933678,0.4390217858617478,0.42857142857142855,0.0,0.0,0.0,-4.551743826,-3.2749992501553127,1370.0
0,190,11/15/2011 5:36,11/15/2011 5:24,0.2576642335766423,0.42528735632183906,0.10555555555555556,0.5112359550561798,0.25911526741620255,0.20064724919093851,430,0.1569206008583691,0.16666666666666666,0.17222222222222222,0.7085427135678392,0.0,0,0,0.135335283,229,484,370.5,-2.000000002,155.9635469,0.00028501,-8.162985253,0,0.001197075317900479,0.7994383590371817,0.22027787464016305,0.35064935064935066,0.25,0.0,0.27,-6.577779332,-6.58510679195677,766.0
0,915,2/1/2014 6:54,2/1/2014 4:00,0.11715328467153285,0.27586206896551724,0.1388888888888889,0.5224719101123596,0.2553325627823894,0.08058252427184466,160,0.08342274678111589,0.2222222222222222,0.3111111111111111,0.4723618090452261,0.0,0,0,0.135335283,229,484,322.8,-2.000000002,158.4386828,5.77E-05,-9.759420148,0,0.0009353353770090562,0.28204874127626206,0.09183979920079594,0.6493506493506493,0.0,0.0,0.2912,-6.788214226,-7.614031312513785,381.0
0,1997,5/19/2016 17:00,5/19/2016 16:36,0.17883211678832117,0.11494252873563218,0.9111111111111111,0.48314606741573035,0.2405169696332878,0.020388349514563107,334,0.0,0.725,0.7277777777777777,0.21608040201005024,0.0,0,0,0.135335283,229,484,434.8,-2.000000002,95.28527298,0.00808299,-4.817993387,0,0.08571690531318993,0.33381742808090925,0.14672169207319544,0.36363636363636365,0.0,0.0,0.0,-2.455187465,-2.9217194960291937,550.0
0,384,6/26/2012 2:00,6/26/2012 4:36,0.08759124087591241,0.25287356321839083,0.7361111111111112,0.30337078651685395,0.2528107596931806,0.0941747572815534,277,0.0802038626609442,0.35,0.3638888888888889,0.18090452261306533,0.0,0,0,0.135335283,229,484,442.5,-2.000000002,46.07918534,0.021558636,-3.836978805,0,0.5634080018364906,0.24807085446138355,0.06667613797969932,0.2987012987012987,0.5,0.0,0.24,-0.574172883,-1.5721916828774298,300.0
0,1879,1/12/2016 12:24,1/12/2016 11:48,0.09416058394160584,0.2988505747126437,0.2222222222222222,0.6179775280898876,0.2523904591783125,0.09579288025889968,289,0.07913090128755365,0.17777777777777778,0.18888888888888888,0.20100502512562815,0.0,0,0,0.135335283,229,484,531,-2.000000002,-137.9068098,0.000238566,-8.340863733,0,0.0056466543130546725,0.2563570795918615,0.07219038619593035,0.42857142857142855,0.25,0.0,0.232,-5.142857811,-6.102609564546991,318.0
0,1002,3/16/2014 3:48,3/16/2014 3:36,0.258029197080292,0.3448275862068966,0.40555555555555556,0.19662921348314608,0.2527056845644636,0.19449838187702265,592,0.1609442060085837,0.4222222222222222,0.4027777777777778,0.6130653266331658,0.0,0,0,0.135335283,229,484,379.7,-2.000000002,-92.62271897,0.020211573,-3.901499937,0,0.09816340932593266,0.8009261597920784,0.2206255628428408,0.6623376623376623,0.0,0.0,0.2,-2.319894016,-2.325095530593366,767.0
0,396,7/2/2012 8:36,7/2/2012 8:36,0.3795620437956204,0.3448275862068966,0.1388888888888889,0.43820224719101125,0.22402017442471364,0.2841423948220065,1265,0.2655579399141631,1.0,0.2361111111111111,0.6432160804020101,1.0,0,0,0.135335283,229,484,638,-2.000000002,-162.7914579,0.000526569,-7.549127921,0,0.0005735183998944419,0.9581464774948175,0.3393109441474829,0.4025974025974026,0.25,0.0,0.328,-7.166321999,-6.463583141082396,1100.0
0,1918,2/24/2016 14:12,2/24/2016 14:00,0.17153284671532848,0.22988505747126436,0.18888888888888888,0.34831460674157305,0.24356414836608173,0.11715210355987055,603,0.10810085836909872,0.35555555555555557,0.33611111111111114,0.1708542713567839,0.0,0,0,0.135335283,229,484,330.8,-2.000000002,153.9705447,0.000144021,-8.845549201,0,0.001451117025236272,0.32859006746380165,0.14008670793107947,0.35064935064935066,0.0,0.0,0.0,-6.41074328,-6.9197942483603905,530.0
