dummy,DH_Type_II_Start,DH_Type_II_End,Max_Frequency,Min_Frequency,Flare_Loc,Flare_NOAA,Flare_Imp,CME_Date_Time,CME_CPA,CME_Width,CMA_Spd,Plots,Notes,,,,,,,,
0,6/23/1999 5:50,6/23/1999 7:10,12000,2000,BACK,-----,----,6/23/1999 6:06,264,>154,450,PHTX,,,,,,,,,
0,6/23/1999 7:07,6/23/1999 7:14,14000,2000,N23E42,8596,M1.7,6/23/1999 7:31,Halo,360,1006,PHTX,uncertain,,,,,,,,
0,6/28/1999 21:03,6/28/1999 21:10,3500,1500,N22W44,8592,C3.5,6/28/1999 21:30,336,>184,903,PHTX,,,,,,,,,
0,6/29/1999 19:20,6/29/1999 19:55,14000,2000,S14E01,8603,M1.6,6/29/1999 19:54,Halo,360,560,PHTX,,,,,,,,,
0,7/5/1999 3:10,7/5/1999 4:05,2000,1000,SW90b,8603,C7.6,7/5/1999 2:54,284,190,670,PHTX,,,,,,,,,
0,8/28/1999 18:25,8/28/1999 18:33,16000,12000,S26W14,8674,X1.1,8/28/1999 18:26,120,245,462,PHTX,,,,,,,,,
0,9/3/1999 3:00,9/3/1999 4:10,2000,1000,S36W24,8679,C2.1,9/3/1999 0:06,184,175,512,PHTX,,,,,,,,,
0,9/10/1999 7:30,9/10/1999 7:35,5500,2000,NW90b,-----,----,9/10/1999 7:54,18,125,1467,PHTX,,,,,,,,,
0,10/14/1999 9:10,10/14/1999 10:00,14000,4000,N11E32,8731,X1.8,10/14/1999 9:26,Halo,360,1250,PHTX,,,,,,,,,
0,10/17/1999 23:27,10/17/1999 23:33,11500,10000,N03E38,-----,----,10/18/1999 0:06,40,87,247,PHTX,,,,,,,,,
0,11/16/1999 3:27,11/16/1999 3:48,7000,4000,N17E38,8766,M3.8,11/16/1999 3:06,81,98,636,PHTX,,,,,,,,,
0,11/16/1999 5:17,11/16/1999 5:34,14000,7000,N08W39,8759,M1.8,11/16/1999 5:30,285,129,712,PHTX,,,,,,,,,
0,1/18/2000 17:31,1/18/2000 22:00,14000,500,S19E11,8831,M3.9,1/18/2000 17:54,Halo,360,739,PHTX,,,,,,,,,
0,1/28/2000 20:20,1/28/2000 20:24,2200,1100,S31W17,8841,C4.7,1/28/2000 20:12,Halo,360,1177,PHTX,,,,,,,,,
0,2/5/2000 19:34,2/5/2000 19:38,5800,2900,N26E52,8858,X1.2,2/5/2000 19:54,60,76,632,PHTX,,,,,,,,,
0,2/8/2000 9:05,2/11/2000 2:20,12000,20,N25E26,8858,M1.3,2/8/2000 9:30,Halo,360,1079,PHTX,,,,,,,,,
0,2/10/2000 1:55,2/10/2000 2:00,14000,8000,N31E04,8858,C7.3,2/10/2000 2:30,Halo,360,944,PHTX,,,,,,,,,
0,2/12/2000 3:55,2/12/2000 9:20,4000,400,N26W23,8858,M1.7,2/12/2000 4:31,Halo,360,1107,PHTX,,,,,,,,,
0,2/17/2000 20:42,2/18/2000 22:12,14000,100,S29E07,8872,M1.3,2/17/2000 21:30,Halo,360,728,PHTX,,,,,,,,,
